X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1417.0,1417.0,train,2.407570427766135E-4,91.4569133437897,0.8045464794537435
1418.0,1418.0,train,1.790684798443453E-4,49.2586110130925,0.7030402331014571
1421.0,1421.0,train,1.8808124475628866E-4,56.8813467515596,0.7206441609788704
1423.0,1423.0,train,8.96048526604027E-5,12.680473619957052,0.4553206961651789
1424.0,1424.0,train,1.6004941108375335E-4,34.97570329318589,0.6621662723034871
1425.0,1425.0,train,2.4153368977570356E-4,91.82076305048388,0.8055730302671307
1426.0,1426.0,train,2.772575853365876E-4,98.21319567218654,0.8473979157878525
1427.0,1427.0,train,1.664312904463146E-4,39.3830513057656,0.6764731678669585
1428.0,1428.0,train,2.1650270584919431E-4,80.61642536233073,0.7696091820137964
1430.0,1430.0,train,2.0321200435024787E-4,70.64281295613065,0.747882928795772
1431.0,1431.0,train,4.033948506899958E-5,5.273861436046166,0.23930169969309645
1432.0,1432.0,train,2.3583212763798232E-4,89.73520664568262,0.7979095088093964
1433.0,1433.0,train,1.8944912780887447E-4,58.22730357788409,0.7232231563166855
1434.0,1434.0,train,1.5880516919737338E-4,33.892294101668334,0.6593040896395788
1436.0,1436.0,train,6.527541289475165E-5,9.013045712988465,0.357632295935694
1438.0,1438.0,train,5.60837719206831E-5,7.579762473213239,0.3163240635597624
1439.0,1439.0,train,1.970728065291988E-4,65.2509633083149,0.7371667351551277
1440.0,1440.0,train,1.4611375674494434E-4,26.71539927875576,0.6286877455334849
1441.0,1441.0,train,1.7458513323212216E-4,45.50816530513852,0.6938743570830748
1442.0,1442.0,train,1.0268661021042628E-4,14.848987131203407,0.5015529114395426
1443.0,1443.0,train,1.6274605026203874E-4,36.72475183502952,0.6682872074931709
1445.0,1445.0,train,1.3888819471146902E-4,23.471026567851684,0.610043312853126
1446.0,1446.0,train,1.4987879183866708E-4,28.326895913329995,0.6380468207859497
1447.0,1447.0,train,1.2016411961381481E-4,18.48827325817831,0.557255579437751
1450.0,1450.0,train,2.2492628184072813E-4,85.2721281164603,0.7823992995026545
1452.0,1452.0,train,1.7953974049641347E-4,49.58501139214188,0.7039876069605049
1453.0,1453.0,train,1.585173839054993E-4,33.5812340280586,0.6586386394050145
1455.0,1455.0,train,2.4688444419960164E-4,93.39399552303965,0.8125004810487313
1456.0,1456.0,train,2.125770949600182E-4,77.84571395303362,0.7633944646507607
1457.0,1457.0,train,1.972509765879286E-4,65.40347436039339,0.7374840636191686
1458.0,1458.0,train,1.551304158544988E-4,31.348966748123303,0.6507085500654222
1460.0,1460.0,train,1.817593168250868E-4,51.47937576539421,0.7084091348208355
1461.0,1461.0,train,1.0405996134983065E-4,15.139306266258568,0.5061728526825384
1463.0,1463.0,train,2.1926192698000984E-4,81.94861524673051,0.7738794167748096
1465.0,1465.0,train,1.3985945192771006E-4,23.963132521106058,0.6126029456441271
1466.0,1466.0,train,1.0952609941333028E-4,16.170638107343862,0.524140393217704
1470.0,1470.0,train,1.885639203898838E-4,57.30583922055417,0.7215569258858582
1471.0,1471.0,train,1.814341159517259E-4,51.14953140080102,0.7077654684885992
1472.0,1472.0,train,1.6908067219966025E-4,41.514828816630704,0.6822330838861117
1475.0,1475.0,train,7.511738705984639E-5,10.523666558394346,0.3991001883934372
1476.0,1476.0,train,1.5729503101664848E-4,32.88568042198196,0.6557976591512791
1477.0,1477.0,train,1.3418051644998973E-4,22.012753947621782,0.5973950988581291
1478.0,1478.0,train,2.715003871746271E-4,97.5883482958874,0.8413231142010928
1481.0,1481.0,train,7.207418353529828E-6,0.9963712262678105,0.04769440049620144
1482.0,1482.0,train,1.056379052526869E-4,15.4495777026057,0.5114282019876819
1483.0,1483.0,train,1.6890469952456368E-4,41.386022545856655,0.6818537083580762
1485.0,1485.0,train,1.604945161679765E-4,35.27695112915666,0.6631843165505376
1486.0,1486.0,train,1.4002822833437273E-4,24.07078639839086,0.6130460192250125
1487.0,1487.0,train,2.063103728778189E-4,73.12183470080417,0.7531242130409049
1489.0,1489.0,train,2.1962630424879903E-4,82.12087349342256,0.7744373873181307
1490.0,1490.0,train,2.2165983570065096E-4,83.21181510254593,0.7775261437467795
1492.0,1492.0,train,8.649023167458322E-5,12.240705683282892,0.4436956085282363
1493.0,1493.0,train,1.874046626719228E-4,56.25503477571505,0.7193596699629892
1494.0,1494.0,train,5.615562055295052E-5,7.590644855354567,0.3166570444392963
1495.0,1495.0,train,4.5443696478908385E-5,6.083378266229518,0.26517810082863424
1496.0,1496.0,train,1.8369007222718726E-4,52.960507494413434,0.7122015668730416
1497.0,1497.0,train,1.5026583478287953E-4,28.628887134566078,0.6389954534871247
1498.0,1498.0,train,1.4903819156108282E-4,27.88809531726832,0.6359779353245818
1500.0,1500.0,train,1.1727845724269577E-4,17.974967142669804,0.5485075442782522
1502.0,1502.0,train,2.0224098675844133E-4,69.90985839572883,0.7462175382660199
1503.0,1503.0,train,1.7981171192892604E-4,49.85536464366759,0.7045329742503255
1505.0,1505.0,train,1.345891392907372E-4,22.131129462548582,0.5985090252113621
1506.0,1506.0,train,2.130383241950535E-4,78.22626714657036,0.7641332513932967
1507.0,1507.0,train,1.6700246739316733E-4,39.84083089987226,0.6777237048920755
1509.0,1509.0,train,1.49119490469441E-4,27.91336417312881,0.6361785436749144
1510.0,1510.0,train,7.843408840572937E-5,11.004312458465662,0.41246277475832527
1511.0,1511.0,train,2.1697544232317042E-4,80.91057522656386,0.7703464828221929
1512.0,1512.0,train,2.26102021775932E-4,85.85241035983208,0.7841271170833861
1513.0,1513.0,train,1.572559711132266E-4,32.8609964436477,0.6557064877196468
1514.0,1514.0,train,2.015153586628648E-4,69.23173800762828,0.7449658367168992
1515.0,1515.0,train,1.7458824895761902E-4,45.51060322679629,0.693880824198164
1516.0,1516.0,train,1.894713247921295E-4,58.251063466557525,0.723264809414311
1517.0,1517.0,train,1.4003077955517435E-4,24.07240329925182,0.6130527128270553
1518.0,1518.0,train,1.4769443962912266E-4,27.377914154577216,0.6326461035764672
1519.0,1519.0,train,2.2258697288665943E-4,83.73106728606079,0.778920311096985
1520.0,1520.0,train,1.6943893731999124E-4,41.654041845174866,0.6830040620931186
1522.0,1522.0,train,1.3001546812439158E-4,20.872945471429947,0.5858631630798701
